route,app,auth,component,component_file,hooks,tables,rls,tables_via_shared,rpcs,edge_fns,edge_fn_deployed,tenant_scoped,files_walked,unresolved_from,verdict,note
/,braden,public,Index,braden/src/pages/Index.tsx,useAllSiteMetadata useApplications useMediaManagement useServices useSiteMetadata useTenantBrandingContext,applications page_sections services site_metadata,applications=RLS_ON_ROLE_OR_OTHER page_sections=RLS_ON_ROLE_OR_OTHER services=RLS_ON_ROLE_OR_OTHER site_metadata=RLS_ON_PERMISSIVE,tenant_branding,is_dev_mode,,ensure-guest-storage-access=true lead-capture=true,n/a,49,4,OK,
/*,braden,public,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/:slug,braden,public,DynamicPage,braden/src/pages/DynamicPage.tsx,,content_pages,content_pages=RLS_ON_MIXED,,,,,yes,6,0,OK,
/admin,braden,admin,Outlet,,,,,,,,,,0,0,UNRESOLVED,"component file could not be resolved from braden/src/Routes.tsx — NOT the same as ""no data path"""
/admin/,braden,admin,PortalMoved,braden/src/Routes.tsx,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/admin/*,braden,admin,PortalMoved,braden/src/Routes.tsx,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/admin/auth,braden,admin,AdminAuth,braden/src/pages/auth/AdminAuth.tsx,useAdminAuth,,,,is_dev_mode,,,n/a,19,0,OK,
/admin/branding,braden,admin,BrandingAdmin,braden/src/pages/admin/BrandingAdmin.tsx,useAdminAuth useTenantBranding,tenant_branding,tenant_branding=RLS_ON_TENANT_SCOPED,,is_dev_mode,,,yes,15,0,OK,
/admin/marketing,braden,admin,PlatformMarketing,braden/src/components/platform/PlatformMarketing.tsx,useAdminAuth,,,,is_dev_mode,,,n/a,9,0,OK,
/admin/page-builder,braden,admin,PageBuilder,braden/src/pages/admin/PageBuilder.tsx,useAdminAuth,,,,is_dev_mode,,,n/a,15,0,OK,
/apprenticeships,braden,public,Apprenticeships,braden/src/pages/apprenticeships.tsx,useEnhancedContactForm useTurnstile,,,,,lead-capture,lead-capture=true,n/a,33,0,OK,
/auth/callback,braden,public,AuthCallback,braden/src/pages/auth/AuthCallback.tsx,,,,,,,,n/a,6,0,NO_DATA_PATH,"static route: no table, rpc or edge function reachable in 6 files"
/auth/login,braden,public,Login,braden/src/pages/auth/Login.tsx,,,,,,,,n/a,3,0,NO_DATA_PATH,"static route: no table, rpc or edge function reachable in 3 files"
/contact,braden,public,Contact,braden/src/pages/Contact.tsx,useQueryClient useTurnstile,custom_pages,custom_pages=RLS_ON_MIXED,,,lead-capture,lead-capture=true,yes,31,0,OK,
/privacy,braden,public,PrivacyPolicy,braden/src/pages/PrivacyPolicy.tsx,,,,,,,,n/a,1,0,NO_DATA_PATH,"static route: no table, rpc or edge function reachable in 1 files"
/products,braden,public,Products,braden/src/pages/Products.tsx,useAllSiteMetadata useApplications useMotionValue useServices useSiteMetadata,applications page_sections services site_metadata,applications=RLS_ON_ROLE_OR_OTHER page_sections=RLS_ON_ROLE_OR_OTHER services=RLS_ON_ROLE_OR_OTHER site_metadata=RLS_ON_PERMISSIVE,,,,,n/a,11,0,OK,
/recruitment,braden,public,Recruitment,braden/src/pages/recruitment.tsx,,,,,,,,n/a,5,0,NO_DATA_PATH,"static route: no table, rpc or edge function reachable in 5 files"
/services/:serviceId,braden,public,Service,braden/src/pages/Service.tsx,,,,,,,,n/a,3,0,NO_DATA_PATH,"static route: no table, rpc or edge function reachable in 3 files"
/terms,braden,public,TermsOfService,braden/src/pages/TermsOfService.tsx,,,,,,,,n/a,1,0,NO_DATA_PATH,"static route: no table, rpc or edge function reachable in 1 files"
/traineeships,braden,public,Traineeships,braden/src/pages/traineeships.tsx,,,,,,,,n/a,5,0,NO_DATA_PATH,"static route: no table, rpc or edge function reachable in 5 files"
*,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/,bsu,authenticated,UnifiedDashboard,business-suite-unified/src/components/UnifiedDashboard.tsx,useAuth useEditorProbeAck usePermissions,bi_metrics profiles subscriptions user_preferences user_tenants,bi_metrics=RLS_ON_TENANT_SCOPED profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED user_preferences=RLS_ON_OWNER_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,create-subscription stripe-portal,create-subscription=true stripe-portal=true,yes,27,1,OK,
/*,bsu,public,MarketingHome,business-suite-unified/src/components/marketing/MarketingHome.tsx,useAuth useBranding useTenantBranding,platform_branding profiles subscriptions tenant_app_branding tenant_branding user_tenants,platform_branding=RLS_ON_PERMISSIVE profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED tenant_app_branding=RLS_ON_TENANT_SCOPED tenant_branding=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,,,yes,14,0,OK,
/admin,bsu,authenticated,AdminPanel,business-suite-unified/src/pages/Admin/index.tsx,useAuth useDateFormatPreference useDismissOpenKeyOnOutsideOrEscape usePermissions useQuery useQueryClient,audit_logs bi_metrics platform_admin_sessions profiles subscriptions tenant_invitations tenants tester_licenses user_preferences user_tenants,audit_logs=RLS_ON_OWNER_SCOPED bi_metrics=RLS_ON_TENANT_SCOPED platform_admin_sessions=RLS_ON_TENANT_SCOPED profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED tenant_invitations=RLS_ON_TENANT_SCOPED tenants=RLS_ON_TENANT_SCOPED tester_licenses=RLS_ON_OWNER_SCOPED user_preferences=RLS_ON_OWNER_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,create_organization_with_owner find_orphan_owned_tenants_for_caller platform_oauth_clients,assign-tester-license send-team-invite tenant-management,assign-tester-license=true send-team-invite=true tenant-management=true create-subscription=true stripe-portal=true,yes,43,1,OK,
/admin/branding,bsu,authenticated,AdminBranding,business-suite-unified/src/pages/Admin/AdminBranding.tsx,useAuth useBrandingEditor useEditorProbeAck usePermissions useQuery,audit_logs bi_metrics platform_branding profiles subscriptions tenant_branding tenant_invitations tenants user_preferences user_tenants,audit_logs=RLS_ON_OWNER_SCOPED bi_metrics=RLS_ON_TENANT_SCOPED platform_branding=RLS_ON_PERMISSIVE profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED tenant_branding=RLS_ON_TENANT_SCOPED tenant_invitations=RLS_ON_TENANT_SCOPED tenants=RLS_ON_TENANT_SCOPED user_preferences=RLS_ON_OWNER_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,create_organization_with_owner find_orphan_owned_tenants_for_caller,send-team-invite,send-team-invite=true create-subscription=true stripe-portal=true,yes,41,1,OK,
/admin/permissions,bsu,authenticated,AdminPermissions,business-suite-unified/src/pages/Admin/PermissionsEditor.tsx,useAuth useMutation usePermissions useQuery useQueryClient,profiles role_capabilities subscriptions tenant_roles user_capability_overrides user_tenants,profiles=RLS_ON_OWNER_SCOPED role_capabilities=RLS_ON_TENANT_SCOPED subscriptions=RLS_ON_TENANT_SCOPED tenant_roles=RLS_ON_TENANT_SCOPED user_capability_overrides=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,user_preferences,clone_tenant_role effective_user_capabilities,,create-subscription=true stripe-portal=true,yes,53,0,OK,
/admin/platform-kit,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/admin/platform-kit/auth,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/admin/platform-kit/database,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/admin/platform-kit/dynamic-tables,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/admin/platform-kit/logs,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/admin/platform-kit/secrets,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/admin/platform-kit/storage,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
